IndexText,Text
"Court Reporter: Thank you.
Videographer: Good morning. We're going on the record at 09:38 a.m. Eastern Daylight Time on August 10, 2022. Please note that the microphones are sensitive and may pick up whispering and private conversations. Please mute your phones at this time. Audio and video record courting will continue to take place unless all parties agree to go off the record. This is media unit one of the video recorded deposition of Donald J. Trump taken by counsel in the matter of financial statements and investigation for the State of New York, Office of Attorney General. The location of the deposition is 28 Liberty Street, New York, New York. My name is Zeph Coda, representing Veritex, and I am the videographer. The court reporter is Linda Greenstein from the firm Veritex. I am not authorized to administer an oath. I am not related to any party in this action, nor am I financially interested in the outcome. Counsel and all present, including those remotely, have been noted for the record. Will the court reporter please swear in the witness, and then counsel may proceed.
Court Reporter: Do you swear or affirm that the testimony or event began is the truth, the whole truth, and nothing will determine?
Donald Trump: I do.","Court Reporter: Thank you.
Videographer: Good morning. We're going on the record at 09:38 a.m. Eastern Daylight Time on August 10, 2022. Please note that the microphones are sensitive and may pick up whispering and private conversations. Please mute your phones at this time. Audio and video record courting will continue to take place unless all parties agree to go off the record. This is media unit one of the video recorded deposition of Donald J. Trump taken by counsel in the matter of financial statements and investigation for the State of New York, Office of Attorney General. The location of the deposition is 28 Liberty Street, New York, New York. My name is Zeph Coda, representing Veritex, and I am the videographer. The court reporter is Linda Greenstein from the firm Veritex. I am not authorized to administer an oath. I am not related to any party in this action, nor am I financially interested in the outcome. Counsel and all present, including those remotely, have been noted for the record. Will the court reporter please swear in the witness, and then counsel may proceed.
Court Reporter: Do you swear or affirm that the testimony or event began is the truth, the whole truth, and nothing will determine?
Donald Trump: I do.
Court Reporter: Thank you.
Attorney General of NY: Good morning, Mr. Trump. My name is Letitia James, and I'm the attorney General of the great state of New York. Before we begin, if everyone could please silence their cell phones, would appreciate that. I wanted to begin with some preliminary rules, some ground rules, if you don't mind. And then I'm going to turn it over to Kevin Wallace, who will conduct this examination. Mr. Trump, you've testified under oath many times, is that yes. And so I take it you are familiar with the ground rules for how testimony proceeds. Is that correct?
Donald Trump: Yes.
Attorney General of NY: So I'll skip that part of the introduction. Is that okay?"
"Court Reporter: Thank you.
Attorney General of NY: Good morning, Mr. Trump. My name is Letitia James, and I'm the attorney General of the great state of New York. Before we begin, if everyone could please silence their cell phones, would appreciate that. I wanted to begin with some preliminary rules, some ground rules, if you don't mind. And then I'm going to turn it over to Kevin Wallace, who will conduct this examination. Mr. Trump, you've testified under oath many times, is that yes. And so I take it you are familiar with the ground rules for how testimony proceeds. Is that correct?
Donald Trump: Yes.
Attorney General of NY: So I'll skip that part of the introduction. Is that okay?","Court Reporter: Thank you.
Videographer: Good morning. We're going on the record at 09:38 a.m. Eastern Daylight Time on August 10, 2022. Please note that the microphones are sensitive and may pick up whispering and private conversations. Please mute your phones at this time. Audio and video record courting will continue to take place unless all parties agree to go off the record. This is media unit one of the video recorded deposition of Donald J. Trump taken by counsel in the matter of financial statements and investigation for the State of New York, Office of Attorney General. The location of the deposition is 28 Liberty Street, New York, New York. My name is Zeph Coda, representing Veritex, and I am the videographer. The court reporter is Linda Greenstein from the firm Veritex. I am not authorized to administer an oath. I am not related to any party in this action, nor am I financially interested in the outcome. Counsel and all present, including those remotely, have been noted for the record. Will the court reporter please swear in the witness, and then counsel may proceed.
Court Reporter: Do you swear or affirm that the testimony or event began is the truth, the whole truth, and nothing will determine?
Donald Trump: I do.
Court Reporter: Thank you.
Attorney General of NY: Good morning, Mr. Trump. My name is Letitia James, and I'm the attorney General of the great state of New York. Before we begin, if everyone could please silence their cell phones, would appreciate that. I wanted to begin with some preliminary rules, some ground rules, if you don't mind. And then I'm going to turn it over to Kevin Wallace, who will conduct this examination. Mr. Trump, you've testified under oath many times, is that yes. And so I take it you are familiar with the ground rules for how testimony proceeds. Is that correct?
Donald Trump: Yes.
Attorney General of NY: So I'll skip that part of the introduction. Is that okay?
Donald Trump: Sure.
Attorney General of NY: Okay. And are you okay right now? Okay. What I will do is explain some differences between the procedures in a civil deposition and the testimony we are taking today. Because this is an investigatory proceeding, you do not have a right to have an attorney with you in this investigation. But I have agreed that your attorney will be present today. However, this examination is not the same as a deposition in ordinary civil litigation, and your attorney's role will be limited to consultation with you in order to give you legal advice regarding privileged matters, if any, or your right not to incriminate yourself. Notwithstanding any objection by your attorneys, you are still required to respond to any questions unless your attorney specifically directs you not to answer. Anything you say in this examination may be used in a civil proceeding, and that could include a civil enforcement proceeding or a criminal action. Do you understand that I think. Is that a yes?
Donald Trump: I don't know what I did wrong, but the answer is yes. I do understand.
Attorney General of NY: Thank you. You have the right to refuse to answer any question if a truthful answer to the question would tend to incriminate you. Do you understand that?"
"Donald Trump: Sure.
Attorney General of NY: Okay. And are you okay right now? Okay. What I will do is explain some differences between the procedures in a civil deposition and the testimony we are taking today. Because this is an investigatory proceeding, you do not have a right to have an attorney with you in this investigation. But I have agreed that your attorney will be present today. However, this examination is not the same as a deposition in ordinary civil litigation, and your attorney's role will be limited to consultation with you in order to give you legal advice regarding privileged matters, if any, or your right not to incriminate yourself. Notwithstanding any objection by your attorneys, you are still required to respond to any questions unless your attorney specifically directs you not to answer. Anything you say in this examination may be used in a civil proceeding, and that could include a civil enforcement proceeding or a criminal action. Do you understand that I think. Is that a yes?
Donald Trump: I don't know what I did wrong, but the answer is yes. I do understand.
Attorney General of NY: Thank you. You have the right to refuse to answer any question if a truthful answer to the question would tend to incriminate you. Do you understand that?","Court Reporter: Thank you.
Attorney General of NY: Good morning, Mr. Trump. My name is Letitia James, and I'm the attorney General of the great state of New York. Before we begin, if everyone could please silence their cell phones, would appreciate that. I wanted to begin with some preliminary rules, some ground rules, if you don't mind. And then I'm going to turn it over to Kevin Wallace, who will conduct this examination. Mr. Trump, you've testified under oath many times, is that yes. And so I take it you are familiar with the ground rules for how testimony proceeds. Is that correct?
Donald Trump: Yes.
Attorney General of NY: So I'll skip that part of the introduction. Is that okay?
Donald Trump: Sure.
Attorney General of NY: Okay. And are you okay right now? Okay. What I will do is explain some differences between the procedures in a civil deposition and the testimony we are taking today. Because this is an investigatory proceeding, you do not have a right to have an attorney with you in this investigation. But I have agreed that your attorney will be present today. However, this examination is not the same as a deposition in ordinary civil litigation, and your attorney's role will be limited to consultation with you in order to give you legal advice regarding privileged matters, if any, or your right not to incriminate yourself. Notwithstanding any objection by your attorneys, you are still required to respond to any questions unless your attorney specifically directs you not to answer. Anything you say in this examination may be used in a civil proceeding, and that could include a civil enforcement proceeding or a criminal action. Do you understand that I think. Is that a yes?
Donald Trump: I don't know what I did wrong, but the answer is yes. I do understand.
Attorney General of NY: Thank you. You have the right to refuse to answer any question if a truthful answer to the question would tend to incriminate you. Do you understand that?
Donald Trump: Yes.
Attorney General of NY: And any willful misstatement by you may constitute perjury. Do you understand that, sir?
Court Reporter: Yes.
Attorney General of NY: Finally, this investigation is confidential. We request that you not discuss this matter, your testimony here today and any documents that you have produced or may produce in connection with today's testimony with anyone other than your attorneys. Do you understand that, sir?"
"Donald Trump: Yes.
Attorney General of NY: And any willful misstatement by you may constitute perjury. Do you understand that, sir?
Court Reporter: Yes.
Attorney General of NY: Finally, this investigation is confidential. We request that you not discuss this matter, your testimony here today and any documents that you have produced or may produce in connection with today's testimony with anyone other than your attorneys. Do you understand that, sir?","Donald Trump: Sure.
Attorney General of NY: Okay. And are you okay right now? Okay. What I will do is explain some differences between the procedures in a civil deposition and the testimony we are taking today. Because this is an investigatory proceeding, you do not have a right to have an attorney with you in this investigation. But I have agreed that your attorney will be present today. However, this examination is not the same as a deposition in ordinary civil litigation, and your attorney's role will be limited to consultation with you in order to give you legal advice regarding privileged matters, if any, or your right not to incriminate yourself. Notwithstanding any objection by your attorneys, you are still required to respond to any questions unless your attorney specifically directs you not to answer. Anything you say in this examination may be used in a civil proceeding, and that could include a civil enforcement proceeding or a criminal action. Do you understand that I think. Is that a yes?
Donald Trump: I don't know what I did wrong, but the answer is yes. I do understand.
Attorney General of NY: Thank you. You have the right to refuse to answer any question if a truthful answer to the question would tend to incriminate you. Do you understand that?
Donald Trump: Yes.
Attorney General of NY: And any willful misstatement by you may constitute perjury. Do you understand that, sir?
Court Reporter: Yes.
Attorney General of NY: Finally, this investigation is confidential. We request that you not discuss this matter, your testimony here today and any documents that you have produced or may produce in connection with today's testimony with anyone other than your attorneys. Do you understand that, sir?
Donald Trump: No. When you say confidential, we're not allowed to talk about this to the press, correct?
Attorney General of NY: I believe what she means is what happened, the details of what happened in this room, obviously with me. Yeah. In fact, that it happened. Yes, but not the details.
Senior Enforcement Counsel: Okay.
Attorney General of NY: Neither you nor anyone acting on your behalf has the right to obtain a copy of the transcript of your testimony here today from the reporter. And neither you nor Veritex are permitted to release copies of the transcript to anyone other than representatives of this office, the office of the Attorney General. Extensive note taking or any attempt to create a transcript of the proceedings here by you or your attorneys is not authorized and will not be permitted. Are you taking any medication or drugs of any kind that make it difficult for you to understand or answer any of the questions today, sir?"
"Donald Trump: No. When you say confidential, we're not allowed to talk about this to the press, correct?
Attorney General of NY: I believe what she means is what happened, the details of what happened in this room, obviously with me. Yeah. In fact, that it happened. Yes, but not the details.
Senior Enforcement Counsel: Okay.
Attorney General of NY: Neither you nor anyone acting on your behalf has the right to obtain a copy of the transcript of your testimony here today from the reporter. And neither you nor Veritex are permitted to release copies of the transcript to anyone other than representatives of this office, the office of the Attorney General. Extensive note taking or any attempt to create a transcript of the proceedings here by you or your attorneys is not authorized and will not be permitted. Are you taking any medication or drugs of any kind that make it difficult for you to understand or answer any of the questions today, sir?","Donald Trump: Yes.
Attorney General of NY: And any willful misstatement by you may constitute perjury. Do you understand that, sir?
Court Reporter: Yes.
Attorney General of NY: Finally, this investigation is confidential. We request that you not discuss this matter, your testimony here today and any documents that you have produced or may produce in connection with today's testimony with anyone other than your attorneys. Do you understand that, sir?
Donald Trump: No. When you say confidential, we're not allowed to talk about this to the press, correct?
Attorney General of NY: I believe what she means is what happened, the details of what happened in this room, obviously with me. Yeah. In fact, that it happened. Yes, but not the details.
Senior Enforcement Counsel: Okay.
Attorney General of NY: Neither you nor anyone acting on your behalf has the right to obtain a copy of the transcript of your testimony here today from the reporter. And neither you nor Veritex are permitted to release copies of the transcript to anyone other than representatives of this office, the office of the Attorney General. Extensive note taking or any attempt to create a transcript of the proceedings here by you or your attorneys is not authorized and will not be permitted. Are you taking any medication or drugs of any kind that make it difficult for you to understand or answer any of the questions today, sir?
Donald Trump: No.
Attorney General of NY: And are you feeling okay today?
Donald Trump: Yes.
Attorney General of NY: And are you sick today?"
"Donald Trump: No.
Attorney General of NY: And are you feeling okay today?
Donald Trump: Yes.
Attorney General of NY: And are you sick today?","Donald Trump: No. When you say confidential, we're not allowed to talk about this to the press, correct?
Attorney General of NY: I believe what she means is what happened, the details of what happened in this room, obviously with me. Yeah. In fact, that it happened. Yes, but not the details.
Senior Enforcement Counsel: Okay.
Attorney General of NY: Neither you nor anyone acting on your behalf has the right to obtain a copy of the transcript of your testimony here today from the reporter. And neither you nor Veritex are permitted to release copies of the transcript to anyone other than representatives of this office, the office of the Attorney General. Extensive note taking or any attempt to create a transcript of the proceedings here by you or your attorneys is not authorized and will not be permitted. Are you taking any medication or drugs of any kind that make it difficult for you to understand or answer any of the questions today, sir?
Donald Trump: No.
Attorney General of NY: And are you feeling okay today?
Donald Trump: Yes.
Attorney General of NY: And are you sick today?
Donald Trump: No.
Attorney General of NY: Okay. And do you have any conditions that could prevent you from giving full, complete, and truthful answers to any questions today? No. And is there any other reason why you cannot give full, complete, and accurate testimony here today?
Donald Trump: Well, you have to determine how you're doing.
Attorney General of NY: Yes, no."
"Donald Trump: No.
Attorney General of NY: Okay. And do you have any conditions that could prevent you from giving full, complete, and truthful answers to any questions today? No. And is there any other reason why you cannot give full, complete, and accurate testimony here today?
Donald Trump: Well, you have to determine how you're doing.
Attorney General of NY: Yes, no.","Donald Trump: No.
Attorney General of NY: And are you feeling okay today?
Donald Trump: Yes.
Attorney General of NY: And are you sick today?
Donald Trump: No.
Attorney General of NY: Okay. And do you have any conditions that could prevent you from giving full, complete, and truthful answers to any questions today? No. And is there any other reason why you cannot give full, complete, and accurate testimony here today?
Donald Trump: Well, you have to determine how you're doing.
Attorney General of NY: Yes, no.
Donald Trump: No, other than what I'm saying.
Donald Trump: Okay.
Attorney General of NY: I'm now going to turn it over to Kevin Wallace. Thank you, sir.
Senior Enforcement Counsel: Thank you."
"Donald Trump: No, other than what I'm saying.
Donald Trump: Okay.
Attorney General of NY: I'm now going to turn it over to Kevin Wallace. Thank you, sir.
Senior Enforcement Counsel: Thank you.","Donald Trump: No.
Attorney General of NY: Okay. And do you have any conditions that could prevent you from giving full, complete, and truthful answers to any questions today? No. And is there any other reason why you cannot give full, complete, and accurate testimony here today?
Donald Trump: Well, you have to determine how you're doing.
Attorney General of NY: Yes, no.
Donald Trump: No, other than what I'm saying.
Donald Trump: Okay.
Attorney General of NY: I'm now going to turn it over to Kevin Wallace. Thank you, sir.
Senior Enforcement Counsel: Thank you.
Senior Enforcement Counsel: Good morning, Mr. Trump. As the attorney general mentioned, my name is Kevin Wallace. Sitting next to me is Alex Finkelstein from our office. And sitting next to him is Samantha Stern, who's a paralegal with our office. They're going to be assisting me during the day today. I'm going to take a moment just to correct one thing from the read in is that we go off the record, not when both parties agree, but when the attorney general directs that we are off the record during these proceedings. The attorney General controls the record. So, Mr. Trump, what did you do to prepare for today's examination?
Court Reporter: You can read your sentence.
Donald Trump: Very little.
Court Reporter: Read your statement."
"Senior Enforcement Counsel: Good morning, Mr. Trump. As the attorney general mentioned, my name is Kevin Wallace. Sitting next to me is Alex Finkelstein from our office. And sitting next to him is Samantha Stern, who's a paralegal with our office. They're going to be assisting me during the day today. I'm going to take a moment just to correct one thing from the read in is that we go off the record, not when both parties agree, but when the attorney general directs that we are off the record during these proceedings. The attorney General controls the record. So, Mr. Trump, what did you do to prepare for today's examination?
Court Reporter: You can read your sentence.
Donald Trump: Very little.
Court Reporter: Read your statement.","Donald Trump: No, other than what I'm saying.
Donald Trump: Okay.
Attorney General of NY: I'm now going to turn it over to Kevin Wallace. Thank you, sir.
Senior Enforcement Counsel: Thank you.
Senior Enforcement Counsel: Good morning, Mr. Trump. As the attorney general mentioned, my name is Kevin Wallace. Sitting next to me is Alex Finkelstein from our office. And sitting next to him is Samantha Stern, who's a paralegal with our office. They're going to be assisting me during the day today. I'm going to take a moment just to correct one thing from the read in is that we go off the record, not when both parties agree, but when the attorney general directs that we are off the record during these proceedings. The attorney General controls the record. So, Mr. Trump, what did you do to prepare for today's examination?
Court Reporter: You can read your sentence.
Donald Trump: Very little.
Court Reporter: Read your statement.
Donald Trump: If you'd like, I could read the.
Donald Trump: Statement, but very little.
Senior Enforcement Counsel: Well.
Attorney General of NY: Read the statement."
"Donald Trump: If you'd like, I could read the.
Donald Trump: Statement, but very little.
Senior Enforcement Counsel: Well.
Attorney General of NY: Read the statement.","Senior Enforcement Counsel: Good morning, Mr. Trump. As the attorney general mentioned, my name is Kevin Wallace. Sitting next to me is Alex Finkelstein from our office. And sitting next to him is Samantha Stern, who's a paralegal with our office. They're going to be assisting me during the day today. I'm going to take a moment just to correct one thing from the read in is that we go off the record, not when both parties agree, but when the attorney general directs that we are off the record during these proceedings. The attorney General controls the record. So, Mr. Trump, what did you do to prepare for today's examination?
Court Reporter: You can read your sentence.
Donald Trump: Very little.
Court Reporter: Read your statement.
Donald Trump: If you'd like, I could read the.
Donald Trump: Statement, but very little.
Senior Enforcement Counsel: Well.
Attorney General of NY: Read the statement.
Senior Enforcement Counsel: Can we go?
Attorney General of NY: Yes, he would like.
Senior Enforcement Counsel: I will now use my moment to.
Senior Enforcement Counsel: Go off the record."
